id,event_id,name,email
1,1,"Sally Richardson",sally@oopsy.com
2,1,"SRichard Pattis",richard@yahoo.com
3,1,"Kyle Donaldson",kdonaldson@rapid.org
4,2,"Kyle Donaldson",kdonaldson@rapid.org
5,2,"Tirith Khemlani",fake@loans.arab
6,2,"Campasur Thirisan",cthir@americaemails.com
7,3,"Gengie Kolkason",gengie@gmail.com
8,3,"Koko Toto",koko@toto.com
9,4,"Sanjith Venkatesh",sanjith.venkatesh@gmail.com
10,4,"Fakily Uinson",fakily@uinson.org
11,4,"Toto Ferrari",maranello@oorr.com
12,8,"Ooof Ouch",sanjithv@uci.edu
13,8,"Ooof Ouch",sanjithv@uci.edu
14,8,"Ooof Ouch",sanjithv@uci.edu
15,8,"Ooof Ouch",sanjithv@uci.edu
16,8,"Ooof Ouch",sanjithv@uci.edu
17,8,"Ooof Ouch",sanjithv@uci.edu
18,8,"Ooof Ouch",sanjithv@uci.edu
19,8,"Ooof Ouch",sanjithv@uci.edu
20,2,"Why Tho",sanjithv@uci.edu
21,4,"Dem Bois",sanjithv@uci.edu
22,2,"Fam Lads",sanjithv@uci.edu
23,2,"Fam Lads",sanjith.venkatesh@gmail.com
24,2,"Fam Lads",sanjith.venkatesh@gmail.com
25,2,"Fam Lads",sanjith.venkatesh@gmail.com
26,2,"Fam Lads",sanjith.venkatesh@gmail.com
27,2,"Fam Lads",sanjith.venkatesh@gmail.com
28,2,"Fam Lads",sanjith.venkatesh@gmail.com
29,2,"Fam Lads",sanjith.venkatesh@gmail.com
